id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
aluminum_transport_Region3Hebei_to_Region23Sichuan,0.0,0.0,1397.0632353414837,0.0,0.0,0.0,0.0,1397.0632353414837
aluminum_transport_Region3Hebei_to_Region24Guizhou,0.0,0.0,989.0408298978571,0.0,0.0,0.0,0.0,989.0408298978571
aluminum_transport_Region3Hebei_to_Region25Yunnan,0.0,0.0,1297.8894435397865,0.0,0.0,0.0,0.0,1297.8894435397865
aluminum_transport_Region3Hebei_to_Region27Shaanxi,0.0,0.0,1937.477920195475,0.0,0.0,0.0,0.0,1937.477920195475
aluminum_transport_Region3Hebei_to_Region28Gansu,0.0,0.0,2126.2605978211564,0.0,0.0,0.0,0.0,2126.2605978211564
aluminum_transport_Region3Hebei_to_Region29Qinghai,0.0,0.0,2515.9387394994933,0.0,0.0,0.0,0.0,2515.9387394994933
aluminum_transport_Region3Hebei_to_Region30Ningxia,0.0,0.0,2110.3677011765553,0.0,0.0,0.0,0.0,2110.3677011765553
aluminum_transport_Region3Hebei_to_Region31Xinjiang,0.0,0.0,2711.714283990184,0.0,0.0,0.0,0.0,2711.714283990184
aluminum_transport_Region4Shanxi_to_Region1Beijing,0.0,0.0,4.838694040796052e6,0.0,0.0,0.0,0.0,4.838694040796052e6
aluminum_transport_Region4Shanxi_to_Region2Tianjin,0.0,0.0,8.158750020599753e6,0.0,0.0,0.0,0.0,8.158750020599753e6
aluminum_transport_Region4Shanxi_to_Region3Hebei,0.0,0.0,5.1731029418907054e7,0.0,0.0,0.0,0.0,5.1731029418907054e7
aluminum_transport_Region4Shanxi_to_Region5Innermongolia,0.0,0.0,1524.503649818004,0.0,0.0,0.0,0.0,1524.503649818004
aluminum_transport_Region4Shanxi_to_Region6Liaoning,0.0,0.0,1.3736887546845815e8,0.0,0.0,0.0,0.0,1.3736887546845815e8
aluminum_transport_Region4Shanxi_to_Region7Jilin,0.0,0.0,2705.5360617985207,0.0,0.0,0.0,0.0,2705.5360617985207
aluminum_transport_Region4Shanxi_to_Region8Heilongjiang,0.0,0.0,3014.904666060378,0.0,0.0,0.0,0.0,3014.904666060378
aluminum_transport_Region4Shanxi_to_Region9Shanghai,0.0,0.0,5.258593113182065e6,0.0,0.0,0.0,0.0,5.258593113182065e6
aluminum_transport_Region4Shanxi_to_Region10Jiangsu,0.0,0.0,5.148584494018897e8,0.0,0.0,0.0,0.0,5.148584494018897e8
aluminum_transport_Region4Shanxi_to_Region11Zhejiang,0.0,0.0,9546.094586494937,0.0,0.0,0.0,0.0,9546.094586494937
aluminum_transport_Region4Shanxi_to_Region12Anhui,0.0,0.0,2.3061472813440895e8,0.0,0.0,0.0,0.0,2.3061472813440895e8
aluminum_transport_Region4Shanxi_to_Region13Fujian,0.0,0.0,4925.835077355878,0.0,0.0,0.0,0.0,4925.835077355878
aluminum_transport_Region4Shanxi_to_Region14Jiangxi,0.0,0.0,5354.067775889543,0.0,0.0,0.0,0.0,5354.067775889543
aluminum_transport_Region4Shanxi_to_Region15Shandong,0.0,0.0,1.388713237532964e8,0.0,0.0,0.0,0.0,1.388713237532964e8
aluminum_transport_Region4Shanxi_to_Region16Henan,0.0,0.0,1.2732255882058753e8,0.0,0.0,0.0,0.0,1.2732255882058753e8
aluminum_transport_Region4Shanxi_to_Region17Hubei,0.0,0.0,41077.96078933743,0.0,0.0,0.0,0.0,41077.96078933743
aluminum_transport_Region4Shanxi_to_Region18Hunan,0.0,0.0,3257.4796949132233,0.0,0.0,0.0,0.0,3257.4796949132233
aluminum_transport_Region4Shanxi_to_Region19Guangdong,0.0,0.0,2448.6724224861855,0.0,0.0,0.0,0.0,2448.6724224861855
aluminum_transport_Region4Shanxi_to_Region20Guangxi,0.0,0.0,1549.5364360291335,0.0,0.0,0.0,0.0,1549.5364360291335
aluminum_transport_Region4Shanxi_to_Region21Hainan,0.0,0.0,1394.6200524471037,0.0,0.0,0.0,0.0,1394.6200524471037
aluminum_transport_Region4Shanxi_to_Region22Chongqing,0.0,0.0,1309.5367599379679,0.0,0.0,0.0,0.0,1309.5367599379679
aluminum_transport_Region4Shanxi_to_Region23Sichuan,0.0,0.0,1877.1061936315707,0.0,0.0,0.0,0.0,1877.1061936315707
aluminum_transport_Region4Shanxi_to_Region24Guizhou,0.0,0.0,1143.3871696244676,0.0,0.0,0.0,0.0,1143.3871696244676
aluminum_transport_Region4Shanxi_to_Region25Yunnan,0.0,0.0,1521.823591186437,0.0,0.0,0.0,0.0,1521.823591186437
aluminum_transport_Region4Shanxi_to_Region27Shaanxi,0.0,0.0,30534.78942793066,0.0,0.0,0.0,0.0,30534.78942793066
aluminum_transport_Region4Shanxi_to_Region28Gansu,0.0,0.0,6122.348648512199,0.0,0.0,0.0,0.0,6122.348648512199
aluminum_transport_Region4Shanxi_to_Region29Qinghai,0.0,0.0,8964.98039848967,0.0,0.0,0.0,0.0,8964.98039848967
aluminum_transport_Region4Shanxi_to_Region30Ningxia,0.0,0.0,2.1820541431967635e7,0.0,0.0,0.0,0.0,2.1820541431967635e7
aluminum_transport_Region4Shanxi_to_Region31Xinjiang,0.0,0.0,4733.135360076114,0.0,0.0,0.0,0.0,4733.135360076114
aluminum_transport_Region5Innermongolia_to_Region1Beijing,0.0,0.0,40834.766895402136,0.0,0.0,0.0,0.0,40834.766895402136
aluminum_transport_Region5Innermongolia_to_Region2Tianjin,0.0,0.0,3881.9441585500686,0.0,0.0,0.0,0.0,3881.9441585500686
aluminum_transport_Region5Innermongolia_to_Region3Hebei,0.0,0.0,1957.0366048303601,0.0,0.0,0.0,0.0,1957.0366048303601
