zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,3161.4294033222805,0.0,0.0,0.0,0.0,3161.4294033222805
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,2457.06714026953,0.0,0.0,0.0,0.0,2457.06714026953
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,1024.5066466126982,0.0,0.0,0.0,0.0,1024.5066466126982
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1282.8218773373474,0.0,0.0,0.0,0.0,1282.8218773373474
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,2361.2855658121794,0.0,0.0,0.0,0.0,2361.2855658121794
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,1859.4785687050796,0.0,0.0,0.0,0.0,1859.4785687050796
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2040.9885739661972,0.0,0.0,0.0,0.0,2040.9885739661972
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1502.3698906945726,0.0,0.0,0.0,0.0,1502.3698906945726
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,1720.3850360055462,0.0,0.0,0.0,0.0,1720.3850360055462
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,1262.5435883856287,0.0,0.0,0.0,0.0,1262.5435883856287
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,1595.0697945247884,0.0,0.0,0.0,0.0,1595.0697945247884
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,1237.6135466124492,0.0,0.0,0.0,0.0,1237.6135466124492
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,1639.0768776495327,0.0,0.0,0.0,0.0,1639.0768776495327
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,1616.447902940802,0.0,0.0,0.0,0.0,1616.447902940802
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,2174.075296126893,0.0,0.0,0.0,0.0,2174.075296126893
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,2591.923985786175,0.0,0.0,0.0,0.0,2591.923985786175
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,1834.0201194766635,0.0,0.0,0.0,0.0,1834.0201194766635
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,5320.429255608336,0.0,0.0,0.0,0.0,5320.429255608336
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,964.9233765332665,0.0,0.0,0.0,0.0,964.9233765332665
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,638.7750508866123,0.0,0.0,0.0,0.0,638.7750508866123
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,633.9038737056002,0.0,0.0,0.0,0.0,633.9038737056002
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,989.1534960827232,0.0,0.0,0.0,0.0,989.1534960827232
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,50733.96570470999,0.0,0.0,0.0,0.0,50733.96570470999
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,3359.12269961322,0.0,0.0,0.0,0.0,3359.12269961322
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,4411.96360358352,0.0,0.0,0.0,0.0,4411.96360358352
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,5134.215711411749,0.0,0.0,0.0,0.0,5134.215711411749
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,4432.460964176601,0.0,0.0,0.0,0.0,4432.460964176601
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,5245.071696303782,0.0,0.0,0.0,0.0,5245.071696303782
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,2987.4016082485764,0.0,0.0,0.0,0.0,2987.4016082485764
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,3371.2864649200105,0.0,0.0,0.0,0.0,3371.2864649200105
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,2496.9311367817463,0.0,0.0,0.0,0.0,2496.9311367817463
