Type,id,location,integer_decisions,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--fuel_consumption,transforms--electricity_consumption,transforms--emission_rate,transforms--capture_rate,edges--elec_edge--commodity,edges--elec_edge--start_vertex,edges--elec_edge--has_capacity,edges--h2_edge--commodity,edges--h2_edge--end_vertex,edges--h2_edge--has_capacity,edges--h2_edge--uc,edges--h2_edge--can_expand,edges--h2_edge--can_retire,edges--h2_edge--existing_capacity,edges--h2_edge--capacity_size,edges--h2_edge--integer_decisions,edges--h2_edge--investment_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--variable_om_cost,edges--h2_edge--startup_cost,edges--h2_edge--startup_fuel_consumption,edges--h2_edge--wacc,edges--h2_edge--lifetime,edges--h2_edge--capital_recovery_period,edges--h2_edge--min_flow_fraction,edges--h2_edge--ramp_up_fraction,edges--h2_edge--ramp_down_fraction,edges--h2_edge--min_up_time,edges--h2_edge--min_down_time,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity
ThermalHydrogenCCS,Region18Hunan_CoalGasification_CCS,Region18Hunan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region18Hunan,FALSE,Hydrogen,h2_Region18Hunan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region18Hunan,FALSE,CO2,co2_Region18Hunan,co2_sink_national,FALSE,CO2Captured,co2captured_Region18Hunan,FALSE
ThermalHydrogenCCS,Region19Guangdong_CoalGasification_CCS,Region19Guangdong,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region19Guangdong,FALSE,Hydrogen,h2_Region19Guangdong,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region19Guangdong,FALSE,CO2,co2_Region19Guangdong,co2_sink_national,FALSE,CO2Captured,co2captured_Region19Guangdong,FALSE
ThermalHydrogenCCS,Region20Guangxi_CoalGasification_CCS,Region20Guangxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region20Guangxi,FALSE,Hydrogen,h2_Region20Guangxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region20Guangxi,FALSE,CO2,co2_Region20Guangxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region20Guangxi,FALSE
ThermalHydrogenCCS,Region21Hainan_CoalGasification_CCS,Region21Hainan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region21Hainan,FALSE,Hydrogen,h2_Region21Hainan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region21Hainan,FALSE,CO2,co2_Region21Hainan,co2_sink_national,FALSE,CO2Captured,co2captured_Region21Hainan,FALSE
ThermalHydrogenCCS,Region22Chongqing_CoalGasification_CCS,Region22Chongqing,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region22Chongqing,FALSE,Hydrogen,h2_Region22Chongqing,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region22Chongqing,FALSE,CO2,co2_Region22Chongqing,co2_sink_national,FALSE,CO2Captured,co2captured_Region22Chongqing,FALSE
ThermalHydrogenCCS,Region23Sichuan_CoalGasification_CCS,Region23Sichuan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region23Sichuan,FALSE,Hydrogen,h2_Region23Sichuan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region23Sichuan,FALSE,CO2,co2_Region23Sichuan,co2_sink_national,FALSE,CO2Captured,co2captured_Region23Sichuan,FALSE
ThermalHydrogenCCS,Region24Guizhou_CoalGasification_CCS,Region24Guizhou,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region24Guizhou,FALSE,Hydrogen,h2_Region24Guizhou,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region24Guizhou,FALSE,CO2,co2_Region24Guizhou,co2_sink_national,FALSE,CO2Captured,co2captured_Region24Guizhou,FALSE
ThermalHydrogenCCS,Region25Yunnan_CoalGasification_CCS,Region25Yunnan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region25Yunnan,FALSE,Hydrogen,h2_Region25Yunnan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region25Yunnan,FALSE,CO2,co2_Region25Yunnan,co2_sink_national,FALSE,CO2Captured,co2captured_Region25Yunnan,FALSE
ThermalHydrogenCCS,Region26Tibet_CoalGasification_CCS,Region26Tibet,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region26Tibet,FALSE,Hydrogen,h2_Region26Tibet,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region26Tibet,FALSE,CO2,co2_Region26Tibet,co2_sink_national,FALSE,CO2Captured,co2captured_Region26Tibet,FALSE
ThermalHydrogenCCS,Region27Shaanxi_CoalGasification_CCS,Region27Shaanxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region27Shaanxi,FALSE,Hydrogen,h2_Region27Shaanxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region27Shaanxi,FALSE,CO2,co2_Region27Shaanxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region27Shaanxi,FALSE
ThermalHydrogenCCS,Region28Gansu_CoalGasification_CCS,Region28Gansu,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region28Gansu,FALSE,Hydrogen,h2_Region28Gansu,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region28Gansu,FALSE,CO2,co2_Region28Gansu,co2_sink_national,FALSE,CO2Captured,co2captured_Region28Gansu,FALSE
ThermalHydrogenCCS,Region29Qinghai_CoalGasification_CCS,Region29Qinghai,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region29Qinghai,FALSE,Hydrogen,h2_Region29Qinghai,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region29Qinghai,FALSE,CO2,co2_Region29Qinghai,co2_sink_national,FALSE,CO2Captured,co2captured_Region29Qinghai,FALSE
ThermalHydrogenCCS,Region30Ningxia_CoalGasification_CCS,Region30Ningxia,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region30Ningxia,FALSE,Hydrogen,h2_Region30Ningxia,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region30Ningxia,FALSE,CO2,co2_Region30Ningxia,co2_sink_national,FALSE,CO2Captured,co2captured_Region30Ningxia,FALSE
ThermalHydrogenCCS,Region31Xinjiang_CoalGasification_CCS,Region31Xinjiang,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region31Xinjiang,FALSE,Hydrogen,h2_Region31Xinjiang,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region31Xinjiang,FALSE,CO2,co2_Region31Xinjiang,co2_sink_national,FALSE,CO2Captured,co2captured_Region31Xinjiang,FALSE
