id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region16Henan_bfbofccs,6828.426481367493,1024.3208178000975,0.0,0.0,0.0,0.0,0.0,7852.74729916759
Region17Hubei_bfbofccs,5434.516570655469,815.2227271087467,0.0,0.0,0.0,0.0,0.0,6249.739297764216
Region18Hunan_bfbofccs,7684.782767036412,1152.7813896841449,0.0,0.0,0.0,0.0,0.0,8837.564156720557
Region19Guangdong_bfbofccs,75467.46942402367,11320.748668621343,0.0,0.0,0.0,0.0,0.0,86788.21809264501
Region20Guangxi_bfbofccs,3233.194525557293,485.00609467825774,0.0,0.0,0.0,0.0,0.0,3718.200620235551
Region22Chongqing_bfbofccs,3264.3339161249687,489.6772624940223,0.0,0.0,0.0,0.0,0.0,3754.011178618991
Region23Sichuan_bfbofccs,5113.039219831241,766.9984482358582,0.0,0.0,0.0,0.0,0.0,5880.0376680671
Region24Guizhou_bfbofccs,7247.096472880158,1087.1248018899619,0.0,0.0,0.0,0.0,0.0,8334.22127477012
Region25Yunnan_bfbofccs,6231.439778192024,934.7678425017507,0.0,0.0,0.0,0.0,0.0,7166.2076206937745
Region27Shaanxi_bfbofccs,3858.943874771173,578.8737063269485,0.0,0.0,0.0,0.0,0.0,4437.817581098121
Region28Gansu_bfbofccs,1759.2524711567771,263.9025161784077,0.0,0.0,0.0,0.0,0.0,2023.1549873351848
Region29Qinghai_bfbofccs,1901.3039158301403,285.2114154357319,0.0,0.0,0.0,0.0,0.0,2186.515331265872
Region30Ningxia_bfbofccs,4263.482763548232,639.557907367226,0.0,0.0,0.0,0.0,0.0,4903.040670915458
Region31Xinjiang_bfbofccs,2165.888746550308,324.9013426715754,0.0,0.0,0.0,0.0,0.0,2490.7900892218836
Region1Beijing_drieaf,1474.583605638733,221.3208666691046,0.0,0.0,0.0,0.0,0.0,1695.9044723078375
Region2Tianjin_drieaf,49426.40573204979,7418.429793417961,0.0,0.0,0.0,0.0,0.0,56844.83552546775
Region3Hebei_drieaf,28976.80477624044,4349.140680701548,0.0,0.0,0.0,0.0,0.0,33325.94545694199
Region4Shanxi_drieaf,38521.60251963872,5781.723343815576,0.0,0.0,0.0,0.0,0.0,44303.325863454294
Region5Innermongolia_drieaf,918.814287106721,137.9052184988388,0.0,0.0,0.0,0.0,0.0,1056.7195056055598
Region6Liaoning_drieaf,107795.6180177687,16179.08914190742,0.0,0.0,0.0,0.0,0.0,123974.70715967612
