zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,1918.147468707678,0.0,0.0,0.0,0.0,1918.147468707678
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,18792.688354349797,0.0,0.0,0.0,0.0,18792.688354349797
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,5425.766640866669,0.0,0.0,0.0,0.0,5425.766640866669
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,6775.358510343075,0.0,0.0,0.0,0.0,6775.358510343075
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,13480.454470754692,0.0,0.0,0.0,0.0,13480.454470754692
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,18126.612781871598,0.0,0.0,0.0,0.0,18126.612781871598
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,8252.179215244558,0.0,0.0,0.0,0.0,8252.179215244558
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,9585.139044879397,0.0,0.0,0.0,0.0,9585.139044879397
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,4862.5566787223925,0.0,0.0,0.0,0.0,4862.5566787223925
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,4350.932710700231,0.0,0.0,0.0,0.0,4350.932710700231
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,59743.51598846444,0.0,0.0,0.0,0.0,59743.51598846444
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,6001.054450978545,0.0,0.0,0.0,0.0,6001.054450978545
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,4286.541780044746,0.0,0.0,0.0,0.0,4286.541780044746
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,3306.584117276031,0.0,0.0,0.0,0.0,3306.584117276031
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,3214.3519186859526,0.0,0.0,0.0,0.0,3214.3519186859526
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,2646.095603860486,0.0,0.0,0.0,0.0,2646.095603860486
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,2716.6295112549788,0.0,0.0,0.0,0.0,2716.6295112549788
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,2461.7433780725482,0.0,0.0,0.0,0.0,2461.7433780725482
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,2988.866245254722,0.0,0.0,0.0,0.0,2988.866245254722
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,2564.4587216220084,0.0,0.0,0.0,0.0,2564.4587216220084
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,2733.8871862119295,0.0,0.0,0.0,0.0,2733.8871862119295
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,3254.8694016301843,0.0,0.0,0.0,0.0,3254.8694016301843
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,3066.9721647024467,0.0,0.0,0.0,0.0,3066.9721647024467
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,3819.709194077964,0.0,0.0,0.0,0.0,3819.709194077964
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,4810.05748702247,0.0,0.0,0.0,0.0,4810.05748702247
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,6830.481400702085,0.0,0.0,0.0,0.0,6830.481400702085
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,9796.644524754927,0.0,0.0,0.0,0.0,9796.644524754927
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,30857.54480273844,0.0,0.0,0.0,0.0,30857.54480273844
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,5.3793989430765375e7,0.0,0.0,0.0,0.0,5.3793989430765375e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,2314.9247521366083,0.0,0.0,0.0,0.0,2314.9247521366083
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,27572.80703452339,0.0,0.0,0.0,0.0,27572.80703452339
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,6636.891630875481,0.0,0.0,0.0,0.0,6636.891630875481
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,8066.146037300043,0.0,0.0,0.0,0.0,8066.146037300043
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,17547.006378927937,0.0,0.0,0.0,0.0,17547.006378927937
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,25799.392750846604,0.0,0.0,0.0,0.0,25799.392750846604
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,10399.092411467045,0.0,0.0,0.0,0.0,10399.092411467045
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,16760.018574645397,0.0,0.0,0.0,0.0,16760.018574645397
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,5823.099389885128,0.0,0.0,0.0,0.0,5823.099389885128
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,5588.404706700436,0.0,0.0,0.0,0.0,5588.404706700436
aluminum_Region4Shanxi_aluminum_Region15Shandong,0.0,0.0,1.3984255602326792e8,0.0,0.0,0.0,0.0,1.3984255602326792e8
aluminum_Region4Shanxi_aluminum_Region16Henan,0.0,0.0,8.77089525882367e7,0.0,0.0,0.0,0.0,8.77089525882367e7
aluminum_Region4Shanxi_aluminum_Region17Hubei,0.0,0.0,6264.958891550906,0.0,0.0,0.0,0.0,6264.958891550906
aluminum_Region4Shanxi_aluminum_Region18Hunan,0.0,0.0,4107.656572539489,0.0,0.0,0.0,0.0,4107.656572539489
aluminum_Region4Shanxi_aluminum_Region19Guangdong,0.0,0.0,3630.406453670842,0.0,0.0,0.0,0.0,3630.406453670842
aluminum_Region4Shanxi_aluminum_Region20Guangxi,0.0,0.0,2867.1910631636056,0.0,0.0,0.0,0.0,2867.1910631636056
aluminum_Region4Shanxi_aluminum_Region21Hainan,0.0,0.0,2911.126867615425,0.0,0.0,0.0,0.0,2911.126867615425
aluminum_Region4Shanxi_aluminum_Region22Chongqing,0.0,0.0,2661.445008835631,0.0,0.0,0.0,0.0,2661.445008835631
aluminum_Region4Shanxi_aluminum_Region23Sichuan,0.0,0.0,3384.865205509537,0.0,0.0,0.0,0.0,3384.865205509537
aluminum_Region4Shanxi_aluminum_Region24Guizhou,0.0,0.0,2773.4783796269285,0.0,0.0,0.0,0.0,2773.4783796269285
aluminum_Region4Shanxi_aluminum_Region25Yunnan,0.0,0.0,2880.7500775022077,0.0,0.0,0.0,0.0,2880.7500775022077
aluminum_Region4Shanxi_aluminum_Region27Shaanxi,0.0,0.0,5212.626386868028,0.0,0.0,0.0,0.0,5212.626386868028
aluminum_Region4Shanxi_aluminum_Region28Gansu,0.0,0.0,3673.1467587048546,0.0,0.0,0.0,0.0,3673.1467587048546
aluminum_Region4Shanxi_aluminum_Region29Qinghai,0.0,0.0,4791.888554691025,0.0,0.0,0.0,0.0,4791.888554691025
aluminum_Region4Shanxi_aluminum_Region30Ningxia,0.0,0.0,11667.479358856017,0.0,0.0,0.0,0.0,11667.479358856017
aluminum_Region4Shanxi_aluminum_Region31Xinjiang,0.0,0.0,8626.352359701747,0.0,0.0,0.0,0.0,8626.352359701747
aluminum_Region5Innermongolia_aluminum_Region1Beijing,0.0,0.0,8.488739368535923e6,0.0,0.0,0.0,0.0,8.488739368535923e6
aluminum_Region5Innermongolia_aluminum_Region2Tianjin,0.0,0.0,1.2367740039263312e7,0.0,0.0,0.0,0.0,1.2367740039263312e7
aluminum_Region5Innermongolia_aluminum_Region3Hebei,0.0,0.0,522.1343615593036,0.0,0.0,0.0,0.0,522.1343615593036
aluminum_Region5Innermongolia_aluminum_Region4Shanxi,0.0,0.0,4965.1701558951,0.0,0.0,0.0,0.0,4965.1701558951
aluminum_Region5Innermongolia_aluminum_Region6Liaoning,0.0,0.0,2.4798671036225528e7,0.0,0.0,0.0,0.0,2.4798671036225528e7
aluminum_Region5Innermongolia_aluminum_Region7Jilin,0.0,0.0,8985.23960866403,0.0,0.0,0.0,0.0,8985.23960866403
aluminum_Region5Innermongolia_aluminum_Region8Heilongjiang,0.0,0.0,11527.68092985914,0.0,0.0,0.0,0.0,11527.68092985914
aluminum_Region5Innermongolia_aluminum_Region9Shanghai,0.0,0.0,12446.113933217395,0.0,0.0,0.0,0.0,12446.113933217395
aluminum_Region5Innermongolia_aluminum_Region10Jiangsu,0.0,0.0,14190.13071030863,0.0,0.0,0.0,0.0,14190.13071030863
aluminum_Region5Innermongolia_aluminum_Region11Zhejiang,0.0,0.0,9001.42813464621,0.0,0.0,0.0,0.0,9001.42813464621
aluminum_Region5Innermongolia_aluminum_Region12Anhui,0.0,0.0,9942.905992334945,0.0,0.0,0.0,0.0,9942.905992334945
aluminum_Region5Innermongolia_aluminum_Region13Fujian,0.0,0.0,5622.955866048304,0.0,0.0,0.0,0.0,5622.955866048304
aluminum_Region5Innermongolia_aluminum_Region14Jiangxi,0.0,0.0,5417.281063763396,0.0,0.0,0.0,0.0,5417.281063763396
aluminum_Region5Innermongolia_aluminum_Region15Shandong,0.0,0.0,53202.97899594472,0.0,0.0,0.0,0.0,53202.97899594472
aluminum_Region5Innermongolia_aluminum_Region16Henan,0.0,0.0,8566.072534485758,0.0,0.0,0.0,0.0,8566.072534485758
aluminum_Region5Innermongolia_aluminum_Region17Hubei,0.0,0.0,5765.846840577258,0.0,0.0,0.0,0.0,5765.846840577258
aluminum_Region5Innermongolia_aluminum_Region18Hunan,0.0,0.0,4264.948089067786,0.0,0.0,0.0,0.0,4264.948089067786
aluminum_Region5Innermongolia_aluminum_Region19Guangdong,0.0,0.0,3852.049086259596,0.0,0.0,0.0,0.0,3852.049086259596
aluminum_Region5Innermongolia_aluminum_Region20Guangxi,0.0,0.0,3112.9001742775436,0.0,0.0,0.0,0.0,3112.9001742775436
aluminum_Region5Innermongolia_aluminum_Region21Hainan,0.0,0.0,3138.1221056161353,0.0,0.0,0.0,0.0,3138.1221056161353
