scenario,period,technology,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Variable O&M,0.0,20147903.725076053,ok,0.0
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Coal,1854244193.3868566,20147903.725076053,ok,92.03161870775999
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Natural Gas,0.0,20147903.725076053,structural_zero,0.0
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Steel Scrap,411017235.9915515,20147903.725076053,ok,20.400000000000002
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,DRI,0.0,20147903.725076053,structural_zero,0.0
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Hydrogen,0.0,20147903.725076053,structural_zero,0.0
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Electricity,151309999.57988697,20147903.725076053,ok,7.509962408226458
no_cap,1,bfbof,Region15Shandong,15,Shandong,Investment,2251.378737727779,55800323.127327055,ok,4.0347055564364875e-05
no_cap,1,bfbof,Region15Shandong,15,Shandong,Fixed O&M,5022029081.4594345,55800323.127327055,ok,89.99999999999999
no_cap,1,bfbof,Region15Shandong,15,Shandong,Variable O&M,0.0,55800323.127327055,ok,0.0
no_cap,1,bfbof,Region15Shandong,15,Shandong,Coal,4419867459.398989,55800323.127327055,ok,79.20863557212002
no_cap,1,bfbof,Region15Shandong,15,Shandong,Natural Gas,0.0,55800323.127327055,structural_zero,0.0
no_cap,1,bfbof,Region15Shandong,15,Shandong,Steel Scrap,1138326591.797472,55800323.127327055,ok,20.400000000000002
no_cap,1,bfbof,Region15Shandong,15,Shandong,DRI,0.0,55800323.127327055,structural_zero,0.0
no_cap,1,bfbof,Region15Shandong,15,Shandong,Hydrogen,0.0,55800323.127327055,structural_zero,0.0
no_cap,1,bfbof,Region15Shandong,15,Shandong,Electricity,405237709.9017794,55800323.127327055,ok,7.262282495696206
no_cap,1,bfbof,Region16Henan,16,Henan,Investment,2294.9960708404883,28925257.449017875,ok,7.93422867501016e-05
no_cap,1,bfbof,Region16Henan,16,Henan,Fixed O&M,2603273170.4116087,28925257.449017875,ok,90.0
no_cap,1,bfbof,Region16Henan,16,Henan,Variable O&M,0.0,28925257.449017875,ok,0.0
no_cap,1,bfbof,Region16Henan,16,Henan,Coal,2322039183.4809074,28925257.449017875,ok,80.27721750009003
no_cap,1,bfbof,Region16Henan,16,Henan,Natural Gas,0.0,28925257.449017875,structural_zero,0.0
no_cap,1,bfbof,Region16Henan,16,Henan,Steel Scrap,590075251.9599648,28925257.449017875,ok,20.400000000000002
no_cap,1,bfbof,Region16Henan,16,Henan,DRI,0.0,28925257.449017875,structural_zero,0.0
no_cap,1,bfbof,Region16Henan,16,Henan,Hydrogen,0.0,28925257.449017875,structural_zero,0.0
no_cap,1,bfbof,Region16Henan,16,Henan,Electricity,219372971.85737672,28925257.449017875,ok,7.584132042524838
no_cap,1,bfbof,Region17Hubei,17,Hubei,Investment,2662.7686815664574,28478761.497829154,ok,9.350015736356484e-05
no_cap,1,bfbof,Region17Hubei,17,Hubei,Fixed O&M,2563088534.804624,28478761.497829154,ok,90.00000000000001
no_cap,1,bfbof,Region17Hubei,17,Hubei,Variable O&M,0.0,28478761.497829154,ok,0.0
no_cap,1,bfbof,Region17Hubei,17,Hubei,Coal,2510630919.2189713,28478761.497829154,ok,88.15800923823
