period,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
1,Region14Jiangxi,14,Jiangxi,Coal,1854250167.9634466,20147968.64381457,ok,92.03161870775999
1,Region14Jiangxi,14,Jiangxi,Natural Gas,0.0,20147968.64381457,structural_zero,0.0
1,Region14Jiangxi,14,Jiangxi,Steel Scrap,411018560.33381724,20147968.64381457,ok,20.4
1,Region14Jiangxi,14,Jiangxi,DRI,0.0,20147968.64381457,structural_zero,0.0
1,Region14Jiangxi,14,Jiangxi,Hydrogen,0.0,20147968.64381457,structural_zero,0.0
1,Region14Jiangxi,14,Jiangxi,Electricity,151204843.21567196,20147968.64381457,ok,7.5047190061064475
1,Region15Shandong,15,Shandong,Investment,2023.1290381499175,55799902.64417123,ok,3.625685605674171e-05
1,Region15Shandong,15,Shandong,Fixed O&M,5021991237.975411,55799902.64417123,ok,90.00000000000001
1,Region15Shandong,15,Shandong,Variable O&M,0.0,55799902.64417123,ok,0.0
1,Region15Shandong,15,Shandong,Coal,4419834153.501934,55799902.64417123,ok,79.20863557212
1,Region15Shandong,15,Shandong,Natural Gas,0.0,55799902.64417123,structural_zero,0.0
1,Region15Shandong,15,Shandong,Steel Scrap,1138318013.9410934,55799902.64417123,ok,20.400000000000006
1,Region15Shandong,15,Shandong,DRI,0.0,55799902.64417123,structural_zero,0.0
1,Region15Shandong,15,Shandong,Hydrogen,0.0,55799902.64417123,structural_zero,0.0
1,Region15Shandong,15,Shandong,Electricity,405101019.8143507,55799902.64417123,ok,7.259887573597172
1,Region16Henan,16,Henan,Investment,2100.3394185029215,28925515.88062305,ok,7.261199513851784e-05
1,Region16Henan,16,Henan,Fixed O&M,2603296429.256075,28925515.88062305,ok,90.00000000000001
1,Region16Henan,16,Henan,Variable O&M,0.0,28925515.88062305,ok,0.0
1,Region16Henan,16,Henan,Coal,2322059929.651085,28925515.88062305,ok,80.27721750009003
1,Region16Henan,16,Henan,Natural Gas,0.0,28925515.88062305,structural_zero,0.0
1,Region16Henan,16,Henan,Steel Scrap,590080523.9647104,28925515.88062305,ok,20.400000000000006
1,Region16Henan,16,Henan,DRI,0.0,28925515.88062305,structural_zero,0.0
1,Region16Henan,16,Henan,Hydrogen,0.0,28925515.88062305,structural_zero,0.0
1,Region16Henan,16,Henan,Electricity,219331904.8938329,28925515.88062305,ok,7.582644534293731
1,Region17Hubei,17,Hubei,Investment,2316.7090537083714,28478466.64981329,ok,8.134950108781787e-05
1,Region17Hubei,17,Hubei,Fixed O&M,2563061998.4831963,28478466.64981329,ok,90.0
1,Region17Hubei,17,Hubei,Variable O&M,0.0,28478466.64981329,ok,0.0
1,Region17Hubei,17,Hubei,Coal,2510604926.0048647,28478466.64981329,ok,88.15800923823
1,Region17Hubei,17,Hubei,Natural Gas,0.0,28478466.64981329,structural_zero,0.0
1,Region17Hubei,17,Hubei,Steel Scrap,580960719.6561911,28478466.64981329,ok,20.4
1,Region17Hubei,17,Hubei,DRI,0.0,28478466.64981329,structural_zero,0.0
1,Region17Hubei,17,Hubei,Hydrogen,0.0,28478466.64981329,structural_zero,0.0
1,Region17Hubei,17,Hubei,Electricity,212402480.7764119,28478466.64981329,ok,7.458353828814882
1,Region18Hunan,18,Hunan,Investment,2494.9663670685923,18202942.9824967,ok,0.0001370639005718835
1,Region18Hunan,18,Hunan,Fixed O&M,1638264868.424703,18202942.9824967,ok,89.99999999999999
1,Region18Hunan,18,Hunan,Variable O&M,0.0,18202942.9824967,ok,0.0
1,Region18Hunan,18,Hunan,Coal,1684971976.3476229,18202942.9824967,ok,92.56590969755999
1,Region18Hunan,18,Hunan,Natural Gas,0.0,18202942.9824967,structural_zero,0.0
1,Region18Hunan,18,Hunan,Steel Scrap,371340036.8429327,18202942.9824967,ok,20.4
1,Region18Hunan,18,Hunan,DRI,0.0,18202942.9824967,structural_zero,0.0
1,Region18Hunan,18,Hunan,Hydrogen,0.0,18202942.9824967,structural_zero,0.0
1,Region18Hunan,18,Hunan,Electricity,133759386.4656002,18202942.9824967,ok,7.34822861304452
1,Region19Guangdong,19,Guangdong,Investment,5357.594645867898,28951760.093552608,ok,0.00018505246757211848
1,Region19Guangdong,19,Guangdong,Fixed O&M,2605658408.419735,28951760.093552608,ok,90.00000000000001
1,Region19Guangdong,19,Guangdong,Variable O&M,0.0,28951760.093552608,ok,0.0
1,Region19Guangdong,19,Guangdong,Coal,2293229414.4216557,28951760.093552608,ok,79.20863557212002
1,Region19Guangdong,19,Guangdong,Natural Gas,0.0,28951760.093552608,structural_zero,0.0
1,Region19Guangdong,19,Guangdong,Steel Scrap,590615905.9084733,28951760.093552608,ok,20.400000000000002
1,Region19Guangdong,19,Guangdong,DRI,0.0,28951760.093552608,structural_zero,0.0
1,Region19Guangdong,19,Guangdong,Hydrogen,0.0,28951760.093552608,structural_zero,0.0
1,Region19Guangdong,19,Guangdong,Electricity,243962940.17099676,28951760.093552608,ok,8.426532251672185
1,Region20Guangxi,20,Guangxi,Investment,2527.0423841566853,37886996.13442235,ok,6.66994653044223e-05
1,Region20Guangxi,20,Guangxi,Fixed O&M,3409829652.098011,37886996.13442235,ok,90.0
1,Region20Guangxi,20,Guangxi,Variable O&M,0.0,37886996.13442235,ok,0.0
1,Region20Guangxi,20,Guangxi,Coal,3466558903.51643,37886996.13442235,ok,91.49732776958997
