index	name	lower_bound	upper_bound
8257924	vCAP_Region16Henan_to_Nanxiang_CO2_Pipeline_transmission_edge_period3	0.0	none
8257926	vCAP_Region17Hubei_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8257951	vCAP_Region6Liaoning_to_Erlian_CO2_Pipeline_transmission_edge_period3	0.0	none
8257955	vCAP_Nanxiang_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8257956	vCAP_Nanxiang_to_Jianghan_CO2_Pipeline_transmission_edge_period3	0.0	none
8257959	vCAP_Region30Ningxia_to_YingenEjina_CO2_Pipeline_transmission_edge_period3	0.0	none
8257971	vCAP_Region27Shaanxi_to_SichuanBasin_CO2_Pipeline_transmission_edge_period3	0.0	none
8257981	vCAP_Region9Shanghai_to_SouthYellowSea_CO2_Pipeline_transmission_edge_period3	0.0	none
8257986	vCAP_Region4Shanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period3	0.0	none
8257996	vCAP_Region2Tianjin_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8257997	vCAP_Region2Tianjin_to_Erlian_CO2_Pipeline_transmission_edge_period3	0.0	none
8258005	vCAP_Region31Xinjiang_to_Qaidam_CO2_Pipeline_transmission_edge_period3	0.0	none
8258006	vCAP_Region31Xinjiang_to_Tarim_CO2_Pipeline_transmission_edge_period3	0.0	none
8258011	vCAP_Region11Zhejiang_to_EastChinaSea_CO2_Pipeline_transmission_edge_period3	0.0	none
8272501	vNEWUNIT_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8272502	vRETUNIT_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period3	none	none
8272535	vNEWUNIT_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period3	0.0	none
8272536	vRETUNIT_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period3	none	none
8272555	vNEWUNIT_Region8Heilongjiang_to_Songliao_CO2_Pipeline_transmission_edge_period3	0.0	none
8272556	vRETUNIT_Region8Heilongjiang_to_Songliao_CO2_Pipeline_transmission_edge_period3	none	none
8272557	vNEWUNIT_Region16Henan_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8272558	vRETUNIT_Region16Henan_to_Hehuai_CO2_Pipeline_transmission_edge_period3	none	none
8272563	vNEWUNIT_Region17Hubei_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8272564	vRETUNIT_Region17Hubei_to_Hehuai_CO2_Pipeline_transmission_edge_period3	none	none
8272621	vNEWUNIT_Nanxiang_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8272622	vRETUNIT_Nanxiang_to_Hehuai_CO2_Pipeline_transmission_edge_period3	none	none
8272623	vNEWUNIT_Nanxiang_to_Jianghan_CO2_Pipeline_transmission_edge_period3	0.0	none
8272624	vRETUNIT_Nanxiang_to_Jianghan_CO2_Pipeline_transmission_edge_period3	none	none
8272673	vNEWUNIT_Region9Shanghai_to_SouthYellowSea_CO2_Pipeline_transmission_edge_period3	0.0	none
8272674	vRETUNIT_Region9Shanghai_to_SouthYellowSea_CO2_Pipeline_transmission_edge_period3	none	none
8272683	vNEWUNIT_Region4Shanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period3	0.0	none
8272684	vRETUNIT_Region4Shanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period3	none	none
8272705	vNEWUNIT_Region2Tianjin_to_Erlian_CO2_Pipeline_transmission_edge_period3	0.0	none
8272706	vRETUNIT_Region2Tianjin_to_Erlian_CO2_Pipeline_transmission_edge_period3	none	none
8272723	vNEWUNIT_Region31Xinjiang_to_Tarim_CO2_Pipeline_transmission_edge_period3	0.0	none
8272724	vRETUNIT_Region31Xinjiang_to_Tarim_CO2_Pipeline_transmission_edge_period3	none	none
12316264	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[6]	0.0	none
12316271	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[13]	0.0	none
12316333	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[75]	0.0	none
12316338	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[80]	0.0	none
12316390	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[132]	0.0	none
12316459	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[201]	0.0	none
12316465	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[207]	0.0	none
12316471	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[213]	0.0	none
12316519	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3[261]	0.0	none
12376320	vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4	0.0	none
12376330	vCAP_Region22Chongqing_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	0.0	none
12376333	vCAP_Region22Chongqing_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	0.0	none
12376353	vCAP_Region3Hebei_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	0.0	none
12376363	vCAP_Region16Henan_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	0.0	none
12376390	vCAP_Region6Liaoning_to_Erlian_CO2_Pipeline_transmission_edge_period4	0.0	none
12376398	vCAP_Region30Ningxia_to_YingenEjina_CO2_Pipeline_transmission_edge_period4	0.0	none
12376410	vCAP_Region27Shaanxi_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	0.0	none
12376435	vCAP_Region2Tianjin_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	0.0	none
12376444	vCAP_Region31Xinjiang_to_Qaidam_CO2_Pipeline_transmission_edge_period4	0.0	none
12376450	vCAP_Region11Zhejiang_to_EastChinaSea_CO2_Pipeline_transmission_edge_period4	0.0	none
12390932	vNEWUNIT_Region22Chongqing_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	0.0	none
12390933	vRETUNIT_Region22Chongqing_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	none	none
12390938	vNEWUNIT_Region22Chongqing_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	0.0	none
12390939	vRETUNIT_Region22Chongqing_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	none	none
12390978	vNEWUNIT_Region3Hebei_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	0.0	none
12390979	vRETUNIT_Region3Hebei_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	none	none
12390998	vNEWUNIT_Region16Henan_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	0.0	none
12390999	vRETUNIT_Region16Henan_to_Nanxiang_CO2_Pipeline_transmission_edge_period4	none	none
12391052	vNEWUNIT_Region6Liaoning_to_Erlian_CO2_Pipeline_transmission_edge_period4	0.0	none
12391053	vRETUNIT_Region6Liaoning_to_Erlian_CO2_Pipeline_transmission_edge_period4	none	none
12391068	vNEWUNIT_Region30Ningxia_to_YingenEjina_CO2_Pipeline_transmission_edge_period4	0.0	none
12391069	vRETUNIT_Region30Ningxia_to_YingenEjina_CO2_Pipeline_transmission_edge_period4	none	none
12391092	vNEWUNIT_Region27Shaanxi_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	0.0	none
12391093	vRETUNIT_Region27Shaanxi_to_SichuanBasin_CO2_Pipeline_transmission_edge_period4	none	none
12391142	vNEWUNIT_Region2Tianjin_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	0.0	none
12391143	vRETUNIT_Region2Tianjin_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period4	none	none
12391160	vNEWUNIT_Region31Xinjiang_to_Qaidam_CO2_Pipeline_transmission_edge_period4	0.0	none
12391161	vRETUNIT_Region31Xinjiang_to_Qaidam_CO2_Pipeline_transmission_edge_period4	none	none
12391172	vNEWUNIT_Region11Zhejiang_to_EastChinaSea_CO2_Pipeline_transmission_edge_period4	0.0	none
12391173	vRETUNIT_Region11Zhejiang_to_EastChinaSea_CO2_Pipeline_transmission_edge_period4	none	none
16434713	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[16]	0.0	none
16434807	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[110]	0.0	none
16434817	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[120]	0.0	none
16434839	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[142]	0.0	none
16434866	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[169]	0.0	none
16434876	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[179]	0.0	none
16434895	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[198]	0.0	none
16434947	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[250]	0.0	none
16434966	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[269]	0.0	none
16473925	INVALID
16507568	INVALID
16507569	INVALID
16507570	INVALID
16507571	INVALID
16507572	INVALID
16507573	INVALID
16507574	INVALID
16507575	INVALID
16507576	INVALID
16507577	INVALID
16507578	INVALID
16507579	INVALID
16507580	INVALID
16507581	INVALID
16507582	INVALID
16507583	INVALID
16507584	INVALID
16507585	INVALID
16507586	INVALID
16507587	INVALID
16507588	INVALID
16507589	INVALID
16507590	INVALID
16507591	INVALID
16507592	INVALID
16507593	INVALID
16507594	INVALID
16507595	INVALID
16507596	INVALID
16507597	INVALID
