sweep,slack,seed,direction,status,rank,violation_model_units,classification,original_constraint,mapped_constraint
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,11,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434982] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434982]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,12,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316450] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316450]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,13,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316495] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316495]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,14,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434786] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434786]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,15,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079406] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079406]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,16,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316436] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316436]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,17,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079474] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079474]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,18,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079604] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079604]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,19,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434711] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434711]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,20,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8198036] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8198036]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,21,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434759] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434759]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,22,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316287] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316287]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,23,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434871] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434871]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,24,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434767] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434767]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,25,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434904] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434904]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,26,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434729] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434729]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,27,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8198048] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8198048]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,28,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316410] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316410]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,29,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079444] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079444]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,30,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434953] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434953]{unmapped} ≤ 0
