zone,Investment_cap,FixedOM_cap,VariableOM_cap,Startup_cap,NonServedDemand_cap,Supply_cap,UnmetPolicyPenalty_cap,Total_cap,Investment_no_cap,FixedOM_no_cap,VariableOM_no_cap,Startup_no_cap,NonServedDemand_no_cap,Supply_no_cap,UnmetPolicyPenalty_no_cap,Total_no_cap,Investment_diff,FixedOM_diff,VariableOM_diff,Startup_diff,NonServedDemand_diff,Supply_diff,UnmetPolicyPenalty_diff,Total_diff,Total_pct_change
Region11Zhejiang_ammonia_gas_ccs_transforms_ammonia_Region11Zhejiang,1011203.5047941682,126414.75788757052,0.0,0.0,0.0,0.0,0.0,1137618.2626817387,488982.10153688106,61129.687233157565,0.0,0.0,0.0,0.0,0.0,550111.7887700386,522221.4032572871,65285.07065441296,0.0,0.0,0.0,0.0,0.0,587506.4739117001,106.79765202364958
Region11Zhejiang_ammonia_gas_transforms_ammonia_Region11Zhejiang,3548097.6563102193,443416.5046990728,0.0,0.0,0.0,0.0,0.0,3991514.161009292,2046975.2786642064,255816.6970563602,0.0,0.0,0.0,0.0,0.0,2302791.9757205667,1501122.377646013,187599.8076427126,0.0,0.0,0.0,0.0,0.0,1688722.1852887254,73.33368376708484
Region11Zhejiang_ammonia_h2_transforms_ammonia_Region11Zhejiang,1713685.71627867,214184.8069986203,0.0,0.0,0.0,0.0,0.0,1927870.5232772904,1218516.4432873577,152296.13385404888,0.0,0.0,0.0,0.0,0.0,1370812.5771414062,495169.2729913122,61888.673144571425,0.0,0.0,0.0,0.0,0.0,557057.9461358842,40.63706121645985
Region11Zhejiang_bfbof_transforms_crudesteel_Region11Zhejiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.598733490435,809686975.0713997,0.0,0.0,0.0,0.0,0.0,809689049.6701332,-2074.598733490435,-809686975.0713997,0.0,0.0,0.0,0.0,0.0,-809689049.6701332,-100.0
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66532.84178463329,9980.480143318731,0.0,0.0,0.0,0.0,0.0,76513.32192795203,-66532.84178463329,-9980.480143318731,0.0,0.0,0.0,0.0,0.0,-76513.32192795203,-100.0
Region11Zhejiang_drieaf_transforms_crudesteel_Region11Zhejiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123607.8669383824,18552.356158925384,0.0,0.0,0.0,0.0,0.0,142160.22309730778,-123607.8669383824,-18552.356158925384,0.0,0.0,0.0,0.0,0.0,-142160.22309730778,-100.0
Region11Zhejiang_gasdri_transforms_dri_Region11Zhejiang,2908.57238515403,436.28585777310445,0.0,0.0,0.0,0.0,0.0,3344.8582429271346,1954.1612033404351,293.12418050106527,0.0,0.0,0.0,0.0,0.0,2247.285383841501,954.411181813595,143.16167727203919,0.0,0.0,0.0,0.0,0.0,1097.5728590856338,48.83994115644747
Region11Zhejiang_gasdriccs_transforms_dri_Region11Zhejiang,4753.286865693603,713.1565294008304,0.0,0.0,0.0,0.0,0.0,5466.443395094434,1571.700144045395,235.80908362084332,0.0,0.0,0.0,0.0,0.0,1807.5092276662383,3181.5867216482084,477.3474457799871,0.0,0.0,0.0,0.0,0.0,3658.934167428196,202.42962588647035
Region11Zhejiang_h2dri_transforms_dri_Region11Zhejiang,1057357.741124848,158603.6611687272,0.0,0.0,0.0,0.0,0.0,1215961.4022935757,472761.4721470219,70914.22082205328,0.0,0.0,0.0,0.0,0.0,543675.6929690752,584596.268977826,87689.44034667393,0.0,0.0,0.0,0.0,0.0,672285.7093245005,123.65564950183285
Region11Zhejiang_methanol_coal_ccs_transforms_methanol_Region11Zhejiang,5495312.966555117,745263.6620905465,0.0,0.0,0.0,0.0,0.0,6240576.628645663,3929282.9813092896,532881.7197242065,0.0,0.0,0.0,0.0,0.0,4462164.701033496,1566029.9852458271,212381.94236633996,0.0,0.0,0.0,0.0,0.0,1778411.9276121669,39.85536273908185
Region11Zhejiang_methanol_coal_transforms_methanol_Region11Zhejiang,34546893.08960142,26602923.761866577,0.0,0.0,0.0,0.0,0.0,61149816.851468,35592031.35406966,26734317.872805893,0.0,0.0,0.0,0.0,0.0,62326349.22687555,-1045138.2644682378,-131394.11093931645,0.0,0.0,0.0,0.0,0.0,-1176532.3754075542,-1.8876966002369755
Region11Zhejiang_methanol_gas_ccs_transforms_methanol_Region11Zhejiang,3348834.427768994,430802.260049478,0.0,0.0,0.0,0.0,0.0,3779636.687818472,2315387.350510645,297857.09774683596,0.0,0.0,0.0,0.0,0.0,2613244.448257481,1033447.0772583489,132945.162302642,0.0,0.0,0.0,0.0,0.0,1166392.2395609906,44.633874199512576
Region11Zhejiang_methanol_h2_transforms_methanol_Region11Zhejiang,1702050.254363665,212756.2905218541,0.0,0.0,0.0,0.0,0.0,1914806.5448855187,1160470.676913974,145058.84056396925,0.0,0.0,0.0,0.0,0.0,1305529.517477943,541579.5774496908,67697.44995788485,0.0,0.0,0.0,0.0,0.0,609277.0274075756,46.66895839969925
Region11Zhejiang_scrapeaf100_transforms_crudesteel_Region11Zhejiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9964.987712765094,1496.456458516627,0.0,0.0,0.0,0.0,0.0,11461.44417128172,-9964.987712765094,-1496.456458516627,0.0,0.0,0.0,0.0,0.0,-11461.44417128172,-100.0
Region11Zhejiang_scrapeaf56_transforms_crudesteel_Region11Zhejiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.5156000612676,10066.755982363278,0.0,0.0,0.0,0.0,0.0,10976.271582424546,-909.5156000612676,-10066.755982363278,0.0,0.0,0.0,0.0,0.0,-10976.271582424546,-100.0
Region11Zhejiang_tradcement_transforms_cement_Region11Zhejiang,1008.0727670543974,2641552.398900446,3907546007.70328,0.0,0.0,0.0,0.0,3910188568.1749473,608.595992444838,2641553.337966499,3907547396.827287,0.0,0.0,0.0,0.0,3910189558.761246,399.47677460955947,-0.9390660529024899,-1389.1240072250366,0.0,0.0,0.0,0.0,-990.5862989425659,-2.5333459773658266e-05
